POS,PLAYER,TEAM,GP,G,A,P,PIM,+/-
C,J.Toews,CHI,8,3,1,4,0,-2
RW,P.Kane,CHI,8,2,2,4,0,-2
C,A.Anisimov,CHI,8,2,3,5,0,-2
C,R.Johansen,NAS,4,1,2,3,0,-3
RW,T.Jurco,CHI,8,2,2,4,0,0
D,R.Josi,NAS,4,0,3,3,2,-3
D,B.Campbell,CHI,8,0,2,2,0,-2
RW,V.Arvidsson,NAS,4,1,1,2,0,-4
C,N.Schmaltz,CHI,8,2,1,3,4,0
D,D.Keith,CHI,8,0,3,3,2,0
LW,F.Forsberg,NAS,4,2,0,2,0,-2
D,N.Hjalmarsson,CHI,8,0,2,2,0,-3

RW,J.Fast,NYR,3,0,0,0,0,-1
RW,A.Shaw,MTL,8,2,1,3,0,5
D,N.Beaulieu,MTL,8,0,0,0,0,-1
D,S.Kampfer,NYR,3,0,0,0,0,0
C,M.Zibanejad,NYR,3,0,0,0,0,-3
C,J.Miller,NYR,3,0,0,0,0,0
LW,C.Kreider,NYR,3,0,0,0,0,-3
RW,K.Hayes,NYR,3,0,0,0,0,-1
C,P.Buchnevich,NYR,3,0,0,0,2,-2
LW,J.Vesey,NYR,3,0,0,0,4,0
C,P.Danault,MTL,8,0,1,1,0,0
LW,Ric.Nash,NYR,3,0,1,1,2,1
C,D.Stepan,NYR,3,1,0,1,0,0
LW,D.King,MTL,8,1,0,1,0,-1
C,A.Martinsen,MTL,8,1,2,3,2,4
RW,M.McCarron,MTL,8,0,0,0,0,1
D,D.Girardi,NYR,3,0,0,0,8,0
D,A.Markov,MTL,8,0,0,0,0,1
D,K.Klein,NYR,3,0,0,0,2,-2
D,M.Staal,NYR,3,0,0,0,2,-2
RW,M.Zuccarello,NYR,3,0,0,0,0,-3
D,N.Holden,NYR,3,0,0,0,0,1
LW,O.Lindberg,NYR,3,0,0,0,0,-1
RW,A.Radulov,MTL,8,5,0,5,2,-1
LW,M.Pacioretty,MTL,8,0,5,5,2,-2
LW,S.Ott,MTL,8,2,1,3,2,1
C,T.Plekanec,MTL,8,2,0,2,2,-2
C,A.Galchenyuk,MTL,8,0,4,4,4,-1
LW,M.Grabner,NYR,3,1,1,2,0,2
D,R.McDonagh,NYR,3,1,1,2,2,-1
LW,J.de la Rose,MTL,8,0,1,1,0,3
D,S.Weber,MTL,8,1,3,4,0,1
D,A.Emelin,MTL,8,0,3,3,2,2
RW,B.Gallagher,MTL,8,0,1,1,0,-3
D,J.Benn,MTL,8,0,1,1,0,-1
D,J.Petry,MTL,8,1,1,2,4,3

C,T.Bozak,TOR,4,0,0,0,0,-2
LW,M.Martin,TOR,4,0,0,0,2,-2
D,M.Niskanen,WSH,11,0,1,1,0,3
D,J.Carlson,WSH,11,0,1,1,2,4
RW,B.Connolly,WSH,11,0,0,0,0,0
RW,C.Brown,TOR,4,0,0,0,0,-1
RW,T.Wilson,WSH,11,0,0,0,0,0
D,B.Orpik,WSH,11,1,2,3,8,3
C,B.Boyle,TOR,4,0,0,0,0,-1
D,M.Hunwick,TOR,4,0,0,0,0,-2
LW,D.Winnik,WSH,11,1,0,1,0,2
RW,Z.Hyman,TOR,4,0,0,0,0,-3
RW,N.Soshnikov,TOR,4,0,0,0,2,-1
D,N.Zaitsev,TOR,4,0,0,0,2,-1
RW,L.Komarov,TOR,4,0,1,1,0,-4
C,L.Eller,WSH,11,0,1,1,0,1
D,D.Orlov,WSH,11,0,1,1,0,3
LW,J.Van Riemsdyk,TOR,4,1,0,1,0,-4
D,J.Gardiner,TOR,4,1,0,1,2,-1
D,C.Carrick,TOR,4,0,1,1,0,-7
D,A.Marchenko,TOR,4,0,1,1,2,-3
RW,M.Marner,TOR,4,0,1,1,0,-4
C,A.Matthews,TOR,4,0,1,1,0,-4
D,K.Shattenkirk,WSH,11,1,9,10,0,11
RW,A.Burakovsky,WSH,11,5,4,9,0,7
LW,A.Ovechkin,WSH,11,4,5,9,11,7
C,J.Beagle,WSH,11,2,2,4,2,4
RW,T.Oshie,WSH,11,1,5,6,0,7
RW,J.Williams,WSH,11,1,1,2,0,3
C,N.Backstrom,WSH,11,4,6,10,2,9
D,K.Alzner,WSH,11,0,2,2,4,12
LW,M.Johansson,WSH,11,5,2,7,0,9
C,E.Kuznetsov,WSH,11,4,1,5,4,6
C,N.Kadri,TOR,4,1,1,2,0,-3
D,M.Rielly,TOR,4,2,0,2,0,-8
RW,W.Nylander,TOR,4,0,2,2,0,-4

LW,E.Staal,MIN,4,0,0,0,0,-1
LW,Z.Parise,MIN,4,0,0,0,0,0
C,M.Koivu,MIN,4,0,0,0,2,-1
RW,C.Stewart,MIN,4,0,0,0,0,-3
RW,R.White,MIN,4,0,0,0,0,0
RW,R.Reeves,STL,12,0,0,0,0,3
C,K.Brodziak,STL,12,1,1,2,0,3
D,J.Brodin,MIN,4,0,0,0,0,-3
D,C.Folin,MIN,4,0,0,0,2,-1
C,E.Haula,MIN,4,0,0,0,0,-2
RW,N.Niederreiter,MIN,4,0,0,0,2,-3
LW,R.Fabbri,STL,12,2,1,3,0,2
RW,C.Coyle,MIN,4,0,0,0,2,-2
D,C.Parayko,STL,12,0,3,3,0,10
RW,V.Tarasenko,STL,12,11,3,14,0,3
C,M.Granlund,MIN,4,0,1,1,2,0
D,J.Spurgeon,MIN,4,1,0,1,0,0
D,M.Scandella,MIN,4,1,0,1,0,-2
D,M.Dumba,MIN,4,0,1,1,4,-4
RW,J.Pominville,MIN,4,0,1,1,0,0
LW,A.Steen,STL,12,1,6,7,4,2
D,J.Wisniewski,STL,12,0,1,1,0,0
C,P.Stastny,STL,12,5,7,12,0,7
LW,J.Schwartz,STL,12,7,5,12,0,8
D,A.Pietrangelo,STL,12,1,3,4,5,7
D,J.Bouwmeester,STL,12,0,2,2,0,9
LW,V.Sobotka,STL,12,2,6,8,2,1
LW,J.Zucker,MIN,4,1,1,2,2,0
LW,D.Perron,STL,12,6,2,8,2,9
D,C.Gunnarsson,STL,12,0,3,3,2,6
C,J.Lehtera,STL,12,4,3,7,2,7
D,R.Suter,MIN,4,0,1,1,0,0
RW,P.Berglund,STL,12,1,3,4,2,3
D,J.Edmundson,STL,12,0,1,1,2,1
C,M.Hanzal,MIN,4,0,1,1,2,-3
RW,N.Yakupov,STL,12,2,4,6,2,4
